employee_id,department,job_role,location,checkout_count,total_checkout_hours,avg_checkout_duration_hours,most_frequently_borrowed_device
EMP0219,Finance,Engineer,College Station,36,7969.213068847669,221.36702969021303,DEV0051
EMP0340,Operations,Coordinator,Dallas,35,6095.16485412604,174.147567260744,DEV0052
EMP0419,Research,Coordinator,Austin,34,5921.879161176338,174.1729165051864,DEV0103
EMP0003,Marketing,Researcher,Austin,34,8449.497467732797,248.5146314039058,DEV0006
EMP0316,Engineering,Manager,Dallas,34,7079.747564226263,208.22786953606658,DEV0009
EMP0271,Research,Researcher,Austin,33,5857.966784985841,177.51414499957093,DEV0023
EMP0145,Operations,Analyst,College Station,33,5874.313101511141,178.00948792458004,DEV0061
EMP0396,Operations,Analyst,Houston,32,6026.452628593773,188.3266446435554,DEV0063
EMP0378,Finance,Analyst,Houston,32,5701.423520532443,178.16948501663884,DEV0039
EMP0328,Finance,Coordinator,College Station,32,5104.17854817263,159.5055796303947,DEV0256
EMP0377,Finance,Researcher,Austin,31,5950.486393416428,191.9511739811751,DEV0006
EMP0386,Operations,Engineer,College Station,31,6680.061297327279,215.48584830087998,DEV0195
EMP0031,Research,Analyst,Dallas,31,6003.500770253918,193.6613151694812,DEV0213
EMP0212,Operations,Analyst,Dallas,31,5446.720219214693,175.70065223273204,DEV0082
EMP0254,Finance,Engineer,Austin,31,7442.663930098924,240.08593322899753,DEV0257
EMP0125,Operations,Coordinator,College Station,31,5787.146871537632,186.68215714637523,DEV0117
EMP0066,Operations,Engineer,College Station,31,5772.857348632237,186.2212047945883,DEV0002
EMP0268,Engineering,Researcher,Houston,30,4865.311549816736,162.17705166055788,DEV0009
EMP0112,Operations,Analyst,Houston,30,5181.607789891806,172.72025966306018,DEV0123
EMP0320,Engineering,Researcher,Austin,30,7895.798335340108,263.19327784467026,DEV0127
EMP0303,Engineering,Manager,Dallas,30,4923.478616885955,164.11595389619848,DEV0253
EMP0091,Finance,Engineer,Houston,30,5457.0199088959,181.90066362986332,DEV0028
EMP0069,Research,Manager,Austin,30,7084.051765269446,236.13505884231486,DEV0222
EMP0099,Engineering,Engineer,Houston,30,5405.398361739731,180.17994539132437,DEV0053
EMP0054,Engineering,Analyst,College Station,30,5563.811871323311,185.46039571077702,DEV0021
EMP0019,Engineering,Researcher,Austin,29,6113.608405481061,210.81408294762278,DEV0054
EMP0416,Marketing,Manager,Dallas,29,5445.582173979724,187.77869565447324,DEV0212
EMP0375,Operations,Analyst,Houston,29,5538.08385502619,190.96840879400654,DEV0102
EMP0408,Finance,Researcher,Houston,29,5960.022027655315,205.51800095363154,DEV0013
EMP0172,Marketing,Manager,Houston,29,5326.816583514487,183.6833304660168,DEV0082
EMP0079,Marketing,Manager,Dallas,29,4910.26257480514,169.3193991312117,DEV0168
EMP0255,Operations,Analyst,Austin,29,6989.871155032143,241.03003982869458,DEV0153
EMP0249,Research,Analyst,Austin,29,6335.25470895014,218.4570589293152,DEV0223
EMP0343,Research,Manager,Dallas,29,4977.862823454046,171.65044218807054,DEV0003
EMP0275,Finance,Manager,Dallas,28,10953.721903053507,391.20435368048237,DEV0024
EMP0013,Operations,Engineer,College Station,28,4001.360253840748,142.9057233514553,DEV0045
EMP0392,Engineering,Manager,Austin,28,5305.060384668702,189.4664423095965,DEV0073
EMP0257,Operations,Analyst,Austin,28,5518.1254723372895,197.07590972633176,DEV0037
EMP0202,Engineering,Manager,College Station,28,5216.0905210215615,186.28894717934148,DEV0027
EMP0227,HR,Manager,Austin,28,7931.279682664732,283.25998866659756,DEV0244
EMP0228,Marketing,Researcher,Austin,28,5782.163355624854,206.5058341294591,DEV0011
EMP0053,Engineering,Analyst,Houston,28,9543.180736114986,340.82788343267805,DEV0054
EMP0218,Research,Manager,Dallas,28,5291.653401803851,188.9876214929947,DEV0041
EMP0267,Engineering,Coordinator,College Station,28,4401.366587182074,157.19166382793122,DEV0052
EMP0034,Marketing,Engineer,College Station,28,7084.111069884915,253.0039667816041,DEV0202
EMP0152,Engineering,Researcher,College Station,28,4527.565240657145,161.69875859489804,DEV0101
EMP0319,Engineering,Analyst,Austin,28,4006.1886120086438,143.0781647145944,DEV0092
EMP0369,Research,Engineer,College Station,28,5172.650307075351,184.7375109669768,DEV0041
EMP0072,Finance,Manager,Dallas,28,4589.142996668102,163.8979641667179,DEV0014
EMP0301,Operations,Analyst,Dallas,28,4500.52126106832,160.73290218101144,DEV0043
EMP0323,Engineering,Engineer,Houston,28,7663.746456933276,273.70523060475983,DEV0011
EMP0073,HR,Engineer,Houston,27,8232.094862378068,304.8924023102988,DEV0003
EMP0314,Engineering,Coordinator,Houston,27,7439.4491809906895,275.535154851507,DEV0012
EMP0248,Engineering,Coordinator,Dallas,27,6124.863101859513,226.84678155035235,DEV0017
EMP0352,Marketing,Coordinator,Houston,27,5648.642509671635,209.20898183969018,DEV0103
EMP0187,HR,Analyst,Austin,27,5421.969418036451,200.8136821494982,DEV0162
EMP0177,Engineering,Analyst,Austin,27,3332.480785124629,123.42521426387515,DEV0006
EMP0213,Research,Researcher,Dallas,27,6497.871027219855,240.66188989703167,DEV0121
EMP0211,Operations,Engineer,Austin,27,4706.219059238622,174.30440960143045,DEV0072
EMP0256,Engineering,Coordinator,College Station,27,4872.8167584618395,180.4746947578459,DEV0014
EMP0315,Operations,Researcher,Houston,27,5156.520046709372,190.98222395219895,DEV0042
EMP0282,Finance,Researcher,Houston,27,6524.154911689846,241.63536709962392,DEV0011
EMP0348,Operations,Analyst,Austin,27,4839.204199106358,179.22978515208732,DEV0057
EMP0362,Research,Researcher,College Station,27,5807.007929034933,215.07436774203455,DEV0021
EMP0367,Operations,Engineer,Dallas,27,4442.423876679648,164.53421765480178,DEV0051
EMP0101,Research,Manager,Houston,27,5131.808227327298,190.0669713824925,DEV0123
EMP0076,HR,Researcher,Houston,26,5661.844915048609,217.76326596340806,DEV0242
EMP0039,Research,Researcher,College Station,26,5819.442400114597,223.82470769671528,DEV0132
EMP0037,Engineering,Analyst,Dallas,26,6073.628391921496,233.6010919969806,DEV0051
EMP0108,Operations,Researcher,College Station,26,3842.927706350709,147.80491178271956,DEV0103
EMP0273,Operations,Manager,Houston,26,5260.04808207313,202.3095416181973,DEV0234
EMP0313,Engineering,Coordinator,Dallas,26,6933.869093873489,266.68727284128806,DEV0254
EMP0309,Research,Researcher,Austin,26,6791.624412419775,261.21632355460673,DEV0013
EMP0283,Operations,Analyst,Houston,26,5460.950534464545,210.03655901786712,DEV0001
EMP0047,Engineering,Coordinator,Dallas,26,4212.97980220387,162.03768470014887,DEV0032
EMP0024,Engineering,Manager,Houston,26,5680.783001997369,218.49165392297573,DEV0172
EMP0163,Finance,Researcher,Austin,26,6495.488683268732,249.82648781802814,DEV0255
EMP0138,Finance,Engineer,Austin,26,7311.639106394014,281.2168887074621,DEV0162
EMP0200,Engineering,Engineer,Dallas,26,3540.9994897327806,136.1922880666454,DEV0008
EMP0114,Operations,Analyst,College Station,26,5380.278298818452,206.9337807237866,DEV0231
EMP0221,Marketing,Engineer,Dallas,26,4690.683209754616,180.41089268286984,DEV0001
EMP0017,HR,Coordinator,Houston,25,3779.388592054841,151.17554368219365,DEV0157
EMP0011,Research,Manager,Houston,25,6057.900685161095,242.3160274064438,DEV0222
EMP0008,Engineering,Analyst,Austin,25,5935.42711983457,237.41708479338277,DEV0152
EMP0005,Research,Manager,Austin,25,3856.902748928255,154.2761099571302,DEV0013
EMP0178,Operations,Engineer,Dallas,25,4378.793866142434,175.15175464569737,DEV0002
EMP0147,Operations,Manager,Austin,25,5430.411825860863,217.21647303443453,DEV0003
EMP0148,Finance,Researcher,Austin,25,5849.378548788446,233.97514195153784,DEV0205
EMP0201,HR,Engineer,Austin,25,5020.243605528771,200.80974422115082,DEV0173
EMP0188,Engineering,Researcher,College Station,25,4029.114131311424,161.16456525245695,DEV0104
EMP0372,Marketing,Researcher,Houston,25,3505.9132509060455,140.23653003624182,DEV0010
EMP0291,Marketing,Coordinator,College Station,25,4855.814974584284,194.23259898337136,DEV0071
EMP0289,Engineering,Researcher,College Station,25,4464.158514383373,178.56634057533492,DEV0055
EMP0041,Marketing,Manager,Houston,25,5590.221201667552,223.60884806670208,DEV0037
EMP0350,Engineering,Analyst,Austin,25,4837.890802633211,193.51563210532845,DEV0032
EMP0035,Engineering,Coordinator,Houston,25,4346.707781369385,173.8683112547754,DEV0023
EMP0329,Engineering,Researcher,Houston,25,5873.367421655757,234.9346968662303,DEV0132
EMP0296,Operations,Coordinator,Houston,25,5117.436303575532,204.69745214302128,DEV0002
EMP0390,Operations,Analyst,Austin,25,6349.25537768425,253.97021510737,DEV0017
EMP0232,Marketing,Researcher,College Station,25,8811.812131180552,352.47248524722204,DEV0202
EMP0311,Marketing,Coordinator,Dallas,25,4627.367868946496,185.09471475785983,DEV0122
EMP0277,Research,Analyst,College Station,25,6450.3498302738835,258.01399321095533,DEV0011
EMP0272,Engineering,Analyst,Houston,25,5017.709052979104,200.70836211916415,DEV0073
EMP0113,Marketing,Engineer,College Station,25,3703.3216599713433,148.13286639885374,DEV0011
EMP0144,Research,Researcher,College Station,24,6801.371196386192,283.39046651609135,DEV0141
EMP0018,HR,Coordinator,College Station,24,5020.818903201334,209.20078763338893,DEV0150
EMP0140,Research,Researcher,Austin,24,5804.657277549516,241.8607198978965,DEV0173
EMP0141,Engineering,Analyst,Houston,24,3911.681955947977,162.98674816449903,DEV0025
EMP0064,Research,Analyst,College Station,24,4564.769578887684,190.1987324536535,DEV0054
EMP0338,Engineering,Manager,College Station,24,4655.067703889082,193.96115432871173,DEV0003
EMP0030,Operations,Researcher,Houston,24,4017.5390427009734,167.39746011254056,DEV0101
EMP0371,Finance,Analyst,Dallas,24,5826.365667924333,242.7652361635139,DEV0042
EMP0370,Finance,Manager,Austin,24,4061.9806355067417,169.24919314611424,DEV0023
EMP0174,Engineering,Engineer,Houston,24,5350.9034863251345,222.95431193021395,DEV0153
EMP0162,Operations,Manager,Austin,24,4292.749497505175,178.86456239604897,DEV0162
EMP0171,HR,Manager,Houston,24,3841.3560747004226,160.05650311251762,DEV0112
EMP0131,HR,Analyst,Houston,24,3707.462226479024,154.47759276995933,DEV0112
EMP0262,Engineering,Engineer,Dallas,24,5398.79019329767,224.94959138740293,DEV0002
EMP0347,Research,Engineer,College Station,24,3662.0095888352603,152.58373286813585,DEV0242
EMP0067,Marketing,Analyst,Austin,24,3950.7492632488475,164.61455263536865,DEV0031
EMP0095,Operations,Manager,Austin,24,4753.957608420381,198.08156701751588,DEV0022
EMP0307,Operations,Coordinator,College Station,24,4414.596815835181,183.94153399313254,DEV0186
EMP0293,Marketing,Engineer,College Station,24,4082.378714947184,170.09911312279934,DEV0112
EMP0085,Marketing,Engineer,Austin,24,4457.241182177641,185.71838259073505,DEV0005
EMP0123,Engineering,Researcher,Austin,24,3976.257203665055,165.67738348604396,DEV0096
EMP0220,Marketing,Researcher,Austin,24,5284.98160390342,220.20756682930917,DEV0011
EMP0238,Marketing,Analyst,College Station,24,6465.316403555665,269.388183481486,DEV0191
EMP0414,HR,Analyst,College Station,23,4906.210225979022,213.31348808604443,DEV0015
EMP0413,Engineering,Analyst,College Station,23,4430.660698846871,192.6374216889944,DEV0027
EMP0411,Operations,Engineer,Austin,23,7441.820587758225,323.55741685905326,DEV0004
EMP0412,Engineering,Engineer,College Station,23,6272.506846707092,272.71768898726486,DEV0043
EMP0382,Operations,Manager,Austin,23,4653.157926474081,202.31121419452526,DEV0001
EMP0299,Marketing,Manager,College Station,23,4729.358102881135,205.62426534265805,DEV0053
EMP0287,Operations,Researcher,College Station,23,5232.512088457312,227.50052558510052,DEV0232
EMP0305,Engineering,Engineer,Austin,23,4308.061433062218,187.3070188287921,DEV0192
EMP0312,Research,Coordinator,Dallas,23,3352.207631388765,145.74815788646805,DEV0087
EMP0046,Engineering,Analyst,Dallas,23,4418.62767935569,192.11424692850827,DEV0126
EMP0355,Finance,Engineer,Houston,23,3232.0416492407876,140.52354996699077,DEV0010
EMP0358,Engineering,Engineer,Austin,23,3814.614773239429,165.85281622780124,DEV0051
EMP0363,Operations,Researcher,College Station,23,4035.7542585422652,175.46757645835936,DEV0021
EMP0040,HR,Manager,Austin,23,4544.559565123353,197.589546309711,DEV0162
EMP0051,Engineering,Coordinator,College Station,23,6423.225809872048,279.2706873857412,DEV0004
EMP0056,Engineering,Manager,Austin,23,4973.439819736357,216.23651390158074,DEV0162
EMP0346,Finance,Coordinator,College Station,23,3400.4143751127076,147.8441032657699,DEV0055
EMP0330,Operations,Researcher,Dallas,23,3558.1718678049992,154.70312468717387,DEV0035
EMP0050,Research,Engineer,Houston,23,4503.737146783009,195.81465855578298,DEV0002
EMP0365,Marketing,Engineer,College Station,23,5674.591248893399,246.7213586475391,DEV0043
EMP0048,Research,Coordinator,Dallas,23,4887.163689948236,212.48537782383636,DEV0094
EMP0094,Operations,Researcher,Dallas,23,3170.448430364887,137.84558392890813,DEV0061
EMP0068,Engineering,Analyst,College Station,23,3418.240435729801,148.61914937955657,DEV0042
EMP0078,Research,Analyst,College Station,23,4457.45229666104,193.80227376787133,DEV0029
EMP0258,Marketing,Coordinator,College Station,23,7981.115396639759,347.0050172452069,DEV0252
EMP0126,Operations,Engineer,Dallas,23,4095.912846343006,178.08316723230462,DEV0033
EMP0216,Engineering,Analyst,College Station,23,5606.281673947646,243.7513771281585,DEV0061
EMP0224,Finance,Coordinator,Dallas,23,4096.439021518115,178.10604441383109,DEV0021
EMP0128,Engineering,Manager,Dallas,23,4459.629801162881,193.89694787664703,DEV0014
EMP0137,Engineering,Manager,College Station,23,4856.599572850021,211.15650316739223,DEV0202
EMP0181,HR,Coordinator,Austin,23,5457.17626780101,237.2685333826526,DEV0003
EMP0135,Engineering,Coordinator,Houston,23,4526.606821746009,196.80899224982647,DEV0122
EMP0139,Operations,Analyst,Houston,23,2943.424956002176,127.97499808705112,DEV0097
EMP0180,Engineering,Analyst,Dallas,23,4233.325458390726,184.05762862568375,DEV0143
EMP0002,Finance,Manager,College Station,22,3861.7776143064825,175.5353461048401,DEV0053
EMP0004,Engineering,Researcher,Dallas,22,3946.2608663186124,179.3754939235733,DEV0044
EMP0404,Marketing,Researcher,Dallas,22,3573.594413502014,162.436109704637,DEV0077
EMP0159,Finance,Engineer,Austin,22,3821.074194018994,173.685190637227,DEV0005
EMP0235,Research,Analyst,Dallas,22,3701.8329861978946,168.26513573626792,DEV0023
EMP0240,Engineering,Engineer,College Station,22,6632.900227174811,301.4954648715823,DEV0046
EMP0197,Research,Engineer,Dallas,22,5018.095330017592,228.09524227352688,DEV0033
EMP0043,Marketing,Manager,Houston,22,2646.8067457501597,120.30939753409817,DEV0007
EMP0360,Engineering,Analyst,Dallas,22,6398.673570663839,290.84879866653813,DEV0005
EMP0143,Operations,Coordinator,Dallas,22,3586.741041117825,163.03368368717386,DEV0116
